athlete_id,games,year,season,city,sport,event,medal
7130,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Quadruple Sculls,Silver
7131,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
7131,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",NA
7131,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",NA
7132,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
7132,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,NA
7132,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,NA
7132,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,NA
7133,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,NA
7133,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,Gold
7134,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,NA
7134,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
7134,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,NA
7135,1984 Winter,1984,Winter,Sarajevo,Luge,Luge Mixed (Men)'s Doubles,NA
7136,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,NA
7137,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
7137,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
7138,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
7139,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
7140,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,NA
7140,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,NA
7141,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",NA
7142,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Bantamweight,NA
7142,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,NA
7143,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's High Jump,NA
7143,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's High Jump,Gold
7143,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's High Jump,Gold
7144,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,NA
7145,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,NA
7145,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,NA
7146,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed One Person Dinghy,Silver
7146,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed One Person Dinghy,Bronze
7147,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Silver
7147,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Bronze
7148,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,NA
7148,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,NA
7149,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Hammer Throw,NA
7149,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Hammer Throw,NA
7150,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,NA
7151,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
7151,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,NA
7151,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,NA
7151,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA
7151,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
7151,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,NA
7151,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA
7151,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,NA
7152,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing,Alpine Skiing Men's Combined,NA
7153,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,Bronze
7153,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Fours,NA
7154,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",NA
7155,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
7155,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Welterweight, Freestyle",NA
7156,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
7157,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Springboard,NA
7157,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,NA
7157,1928 Summer,1928,Summer,Amsterdam,Diving,Diving Men's Springboard,NA
7158,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,NA
7159,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,NA
7160,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,NA
7160,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
7160,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,NA
7160,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA
7160,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,NA
7160,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,NA
7160,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,NA
7160,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA
7160,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,NA
7160,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
7160,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,NA
7160,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,NA
7161,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,NA
7162,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
7163,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
7163,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,NA
7163,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,NA
7163,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
7164,1980 Summer,1980,Summer,Moskva,Archery,Archery Men's Individual,NA
7165,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
7165,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
7166,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,NA
7167,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
7168,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Springboard,Bronze
7168,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,NA
7169,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",NA
7169,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",NA
7169,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",NA
7169,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",NA
7169,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",NA
7169,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",NA
7169,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
7170,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Singles,NA
7170,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,NA
7171,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,NA
7172,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
7172,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",NA
7173,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",NA
7174,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
7174,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",NA
7175,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",NA
7176,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",NA
7176,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",NA
7176,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",NA
7177,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",NA
