id,name,sex,height,weight,team
4840,Jorge Aranzamendi Torres,M,172,64,Puerto Rico
4841,Daniel Aranzubia Aguado,M,184,75,Spain
4842,Ren Araou,M,178,98,France
4843,Dimitrios Araouzos,M,174,65,Cyprus
4844,"Kalliopi ""Kelly"" Araouzou",F,169,55,Greece
4845,Zhibek Dzhumalillovna Arapbayeva,F,160,58,Kazakhstan
4846,Mate Arapov,M,181,84,Croatia
4847,Franjo Arapovi,M,211,120,Yugoslavia
4848,Jacob Araptany,M,168,58,Uganda
4849,Ion Arapu,M,152,48,Romania
4850,Linet Arasa Moraa,F,173,61,Kenya
4851,Toru Arase,M,169,68,Japan
4852,Yota Arase,M,180,74,Japan
4853,Yukiya Arashiro,M,171,64,Japan
4854,Kristjn Arason,M,194,91,Iceland
4855,Giulio Ulisse Arata,M,0,0,Italy
4856,Yukie Arata,F,0,0,Japan
4857,Enrique Jos Arathoon Pacas,M,180,78,El Salvador
4858,Magomedkhan Suleymanovich Aratsilov,M,180,82,Soviet Union
4859,Adriana dos Santos Arajo,F,167,60,Brazil
4860,Alexandra Araujo,F,167,67,Italy
4861,Amanda Carolina Gomes de Arajo,F,162,54,Brazil
4862,Benjamin Esteves Arajo,M,0,0,Portugal
4863,Carolina Araujo,F,158,0,Mozambique
4864,Gaspar Jos Pereira Arajo,M,185,78,Portugal
4865,Joo Pedro Carvalho Arajo,M,180,68,Portugal
4866,Luiz Alberto Cardoso de Arajo,M,188,88,Brazil
4867,Nazario Arajo,M,165,59,Argentina
4868,Manuel Aravena,M,0,0,Chile
4869,Vctor Aravena Pincheira,M,167,55,Chile
4870,Athanasios Aravositas,M,0,0,Greece
4871,Edward Ignacio Araya Corts,M,176,62,Chile
4872,Kazuo Araya,M,172,67,Japan
4873,Pedro Araya Zabala,M,0,0,Chile
4874,Yerko Ignacio Araya Corts,M,178,64,Chile
4875,Hicham Arazi,M,175,65,Morocco
4876,Rodica Arba-Pucatu,F,179,75,Romania
4877,Khalil Arbaji,M,0,0,Syria
4878,Pierre Arbaji,M,0,0,Lebanon
4879,Pierre Ferdinand Arbaut,M,0,0,EA II
4880,"Alfred ""Fredy"" Arber",M,0,0,Switzerland
4881,Walther Arber,M,176,80,Switzerland
4882,Alexandre Arbez,M,188,88,France-1
4883,Maurice Arbez,M,166,66,France
4884,Victor Arbez,M,180,80,France
4885,Michael Ludwig Hariyanto Arbi,M,178,70,Indonesia
4886,Gustaf Harald Arbin (Andersson-),M,0,0,Sweden
4887,Vernica Arbo,F,173,64,Argentina
4888,Auguste mile Arbogast,M,171,75,France
4889,Odile Arboles-Souchon,F,170,55,France
4890,Jeffrey John Arbon,M,0,0,Great Britain
